Date,Open,High,Low,Close ,Adj Close ,Volume
28-Aug-22,333.92,340.32,324.62,331.48,307.79,"9,944,400"
21-Aug-22,342.44,348.74,336,336.4,312.36,"8,260,500"
14-Aug-22,351,358.62,347.5,349.27,324.31,"8,277,400"
7-Aug-22,337.11,356.05,334.34,353.82,328.54,"10,237,200"
31-Jul-22,331.73,336.91,327.22,334.67,310.75,"8,519,800"
24-Jul-22,325.97,335.18,317.76,333.39,309.57,"12,094,000"
17-Jul-22,305.76,329.05,298.71,323.93,300.78,"20,247,900"
10-Jul-22,293.2,299.08,277.84,293.87,272.87,"11,805,600"
3-Jul-22,293,300.89,288.36,296.47,275.28,"7,740,800"
26-Jun-22,303.06,308.97,291.72,299.23,277.85,"11,263,100"
19-Jun-22,287.77,303.13,278.93,302.75,281.12,"11,500,700"
12-Jun-22,279,294.48,278.15,279.79,259.8,"17,443,300"
5-Jun-22,323,325.21,286.85,287.02,266.51,"11,818,000"
29-May-22,324.01,329.72,315.83,318.68,294.11,"8,249,500"
22-May-22,312.72,328.67,306.43,328.58,303.24,"11,000,500"
15-May-22,305.95,314.32,299.41,306.8,283.14,"10,008,100"
8-May-22,308.92,315.15,293.9,306.99,283.32,"13,913,800"
1-May-22,305.81,324.8,302.21,312.96,288.83,"13,201,400"
24-Apr-22,316.38,322.16,304.71,305.49,281.93,"13,660,200"
17-Apr-22,320.65,347.35,319.47,319.77,295.11,"15,691,300"
10-Apr-22,320.61,333.03,314.72,321.64,296.84,"13,596,700"
3-Apr-22,330,331.87,308.2,321.39,296.61,"15,151,400"
27-Mar-22,338.15,344,327.57,330.22,304.76,"12,288,300"
20-Mar-22,345.26,346.3,334.3,337.49,311.47,"11,963,100"
13-Mar-22,329.21,346.77,322.9,345.38,318.75,"16,216,800"
6-Mar-22,326.82,337.47,318.55,327,301.78,"15,334,500"
27-Feb-22,340.25,343.84,324,329.67,302.47,"19,033,900"
20-Feb-22,342.46,350.7,326.95,350.12,321.23,"12,352,600"
13-Feb-22,363.06,365.89,343.37,346.04,317.48,"12,610,600"
6-Feb-22,365.49,377.4,360.77,363.06,333.1,"13,856,600"
30-Jan-22,344.6,370.95,343.44,367.6,337.27,"15,493,700"
23-Jan-22,337.32,350.48,326.23,347.01,318.37,"20,563,000"
16-Jan-22,360.04,361.57,340.72,343.91,315.53,"30,053,600"
9-Jan-22,401.32,404.37,375,380.94,349.5,"16,099,300"
2-Jan-22,389,412.66,386.43,397.51,364.71,"16,041,900"
26-Dec-21,386.99,391.33,380.84,382.55,350.98,"7,047,800"
19-Dec-21,375.52,387.61,366.65,385.04,353.27,"9,790,300"
12-Dec-21,391.19,399.84,380.6,381.8,350.29,"18,540,900"
5-Dec-21,388.67,401.75,383.49,391.06,358.79,"10,071,700"
